model,model_key,project,repo,id_build,run_url,actual_duration,prediction,baseline_lag1,baseline_mean7,abs_error_model,abs_error_lag1,abs_error_mean7,case_type
GBR,gradient_boosting,bmad,bmad-sim/bmad-ecosystem,16870876036,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/16870876036,1257.0,1156.7072625958454,1149.0,1141.142857142857,100.29273740415465,108.0,115.85714285714289,worst_model
GBR,gradient_boosting,bmad,bmad-sim/bmad-ecosystem,17076603505,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/17076603505,1245.0,1146.7467366405,1151.0,1160.2857142857142,98.2532633594999,94.0,84.71428571428578,worst_model
GBR,gradient_boosting,bruce,pr3y/Bruce,15805772491,https://github.com/pr3y/Bruce/actions/runs/15805772491,307.0,304.49211896069585,316.0,340.85714285714283,2.507881039304152,9.0,33.85714285714283,best_model
GBR,gradient_boosting,bruce,pr3y/Bruce,15769346340,https://github.com/pr3y/Bruce/actions/runs/15769346340,316.0,313.33705478709345,412.0,353.42857142857144,2.66294521290655,96.0,37.428571428571445,best_model
GBR,gradient_boosting,bruce,pr3y/Bruce,17328288199,https://github.com/pr3y/Bruce/actions/runs/17328288199,317.0,319.9619433016814,313.0,381.0,2.9619433016814014,4.0,64.0,best_model
GBR,gradient_boosting,bruce,pr3y/Bruce,16963328986,https://github.com/pr3y/Bruce/actions/runs/16963328986,438.0,320.3871397781254,316.0,336.85714285714283,117.6128602218746,122.0,101.14285714285717,worst_model
GBR,gradient_boosting,bruce,pr3y/Bruce,17153957122,https://github.com/pr3y/Bruce/actions/runs/17153957122,434.0,328.14046025122826,409.0,374.2857142857143,105.85953974877174,25.0,59.71428571428572,worst_model
GBR,gradient_boosting,bruce,pr3y/Bruce,16200244216,https://github.com/pr3y/Bruce/actions/runs/16200244216,436.0,333.4013569297952,329.0,328.7142857142857,102.59864307020479,107.0,107.28571428571428,worst_model
GBR,gradient_boosting,ccpay,hmcts/ccpay-payment-app,16624402734,https://github.com/hmcts/ccpay-payment-app/actions/runs/16624402734,337.0,337.27595373702474,337.0,335.14285714285717,0.2759537370247358,0.0,1.8571428571428328,best_model
GBR,gradient_boosting,ccpay,hmcts/ccpay-payment-app,16564270830,https://github.com/hmcts/ccpay-payment-app/actions/runs/16564270830,342.0,340.2490524953602,313.0,333.85714285714283,1.7509475046397824,29.0,8.142857142857167,best_model
GBR,gradient_boosting,ccpay,hmcts/ccpay-payment-app,16571128161,https://github.com/hmcts/ccpay-payment-app/actions/runs/16571128161,337.0,338.8240593715114,313.0,328.0,1.824059371511396,24.0,9.0,best_model
GBR,gradient_boosting,ccpay,hmcts/ccpay-payment-app,16624406460,https://github.com/hmcts/ccpay-payment-app/actions/runs/16624406460,416.0,332.70477528063077,311.0,329.85714285714283,83.29522471936923,105.0,86.14285714285717,worst_model
GBR,gradient_boosting,ccpay,hmcts/ccpay-payment-app,16565220137,https://github.com/hmcts/ccpay-payment-app/actions/runs/16565220137,397.0,336.1937661035277,353.0,332.57142857142856,60.80623389647229,44.0,64.42857142857144,worst_model
GBR,gradient_boosting,ccpay,hmcts/ccpay-payment-app,16624410978,https://github.com/hmcts/ccpay-payment-app/actions/runs/16624410978,301.0,351.5759350677702,416.0,345.42857142857144,50.57593506777022,115.0,44.428571428571445,worst_model
GBR,gradient_boosting,daos,daos-stack/daos,20483107231,https://github.com/daos-stack/daos/actions/runs/20483107231,2490.0,2489.530720736907,1645.0,2248.285714285714,0.4692792630930853,845.0,241.71428571428578,best_model
GBR,gradient_boosting,daos,daos-stack/daos,20515119541,https://github.com/daos-stack/daos/actions/runs/20515119541,2447.0,2448.5080905826476,1750.0,2368.8571428571427,1.5080905826475828,697.0,78.14285714285734,best_model
GBR,gradient_boosting,daos,daos-stack/daos,20013550295,https://github.com/daos-stack/daos/actions/runs/20013550295,2482.0,2477.683446046803,2618.0,2377.4285714285716,4.316553953196944,136.0,104.57142857142844,best_model
GBR,gradient_boosting,daos,daos-stack/daos,19942358272,https://github.com/daos-stack/daos/actions/runs/19942358272,7964.0,3145.128232668047,3560.0,4389.714285714285,4818.871767331953,4404.0,3574.2857142857147,worst_model
GBR,gradient_boosting,daos,daos-stack/daos,19711730134,https://github.com/daos-stack/daos/actions/runs/19711730134,8038.0,3424.901230382955,3023.0,4191.285714285715,4613.098769617045,5015.0,3846.7142857142853,worst_model
GBR,gradient_boosting,daos,daos-stack/daos,20080538087,https://github.com/daos-stack/daos/actions/runs/20080538087,7264.0,2779.739192297099,3327.0,2586.8571428571427,4484.260807702901,3937.0,4677.142857142857,worst_model
GBR,gradient_boosting,filterlists,collinbarrett/FilterLists,16877847659,https://github.com/collinbarrett/FilterLists/actions/runs/16877847659,84.0,84.17158094190697,108.0,96.28571428571429,0.17158094190696715,24.0,12.285714285714292,best_model
GBR,gradient_boosting,filterlists,collinbarrett/FilterLists,16971990819,https://github.com/collinbarrett/FilterLists/actions/runs/16971990819,27.0,27.200135443722235,116.0,100.0,0.20013544372223535,89.0,73.0,best_model
GBR,gradient_boosting,filterlists,collinbarrett/FilterLists,16760128166,https://github.com/collinbarrett/FilterLists/actions/runs/16760128166,135.0,135.23944118708047,93.0,105.85714285714286,0.23944118708047313,42.0,29.14285714285714,best_model
GBR,gradient_boosting,filterlists,collinbarrett/FilterLists,16622680257,https://github.com/collinbarrett/FilterLists/actions/runs/16622680257,219.0,139.26286352418833,86.0,95.14285714285714,79.73713647581167,133.0,123.85714285714286,worst_model
GBR,gradient_boosting,filterlists,collinbarrett/FilterLists,16813170564,https://github.com/collinbarrett/FilterLists/actions/runs/16813170564,105.0,157.00781693322725,90.0,112.28571428571429,52.00781693322725,15.0,7.285714285714292,worst_model
GBR,gradient_boosting,filterlists,collinbarrett/FilterLists,16622686256,https://github.com/collinbarrett/FilterLists/actions/runs/16622686256,205.0,155.40069025926405,219.0,111.14285714285714,49.59930974073595,14.0,93.85714285714286,worst_model
GBR,gradient_boosting,jod,Opetushallitus/jod-yksilo-ui,17034105012,https://github.com/Opetushallitus/jod-yksilo-ui/actions/runs/17034105012,185.0,193.60216349682327,160.0,169.71428571428572,8.602163496823266,25.0,15.285714285714278,best_model
GBR,gradient_boosting,jod,Opetushallitus/jod-yksilo-ui,16621763127,https://github.com/Opetushallitus/jod-yksilo-ui/actions/runs/16621763127,174.0,187.94474755075996,174.0,181.42857142857142,13.944747550759956,0.0,7.428571428571416,best_model
